theme,input_song,input_artist,input_genre,input_preview_url,output_song,output_artist,output_genre,ouput_preview_url
metal,kickstart my heart,mötley crüe,"['alt_rock', 'alternative', 'hard_rock', 'metal', 'rock']",https://p.scdn.co/mp3-preview/048db5acbe7252ce2f2285dc2c2ab27c72bd43aa?cid=8486f3ccf66b437d8cc1fe65984e92a0,love you to death,judas priest,"['alt_rock', 'alternative', 'hard_rock', 'metal', 'rock']",https://p.scdn.co/mp3-preview/c893b846a7fbc051a2a95b9ca879002427372fae?cid=8486f3ccf66b437d8cc1fe65984e92a0
metal,the final countdown - live version,europe,"['hard_rock', 'metal', 'rock', 'swedish']",https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=8486f3ccf66b437d8cc1fe65984e92a0,world of promises,treat,"['hard_rock', 'metal', 'rock', 'swedish']",https://open.spotify.com/embed/track/7mo8GhglORFRX1A76BKklp?utm_source=generator
pop,beat it,michael jackson,['pop'],https://p.scdn.co/mp3-preview/3b0b3eb44b3149bb49ae06dd64869e20e8c13380?cid=8486f3ccf66b437d8cc1fe65984e92a0,senza fiato - 2001 remaster,mina,['pop'],https://p.scdn.co/mp3-preview/205815aa5622748825108fede8eda848d45b5e93?cid=8486f3ccf66b437d8cc1fe65984e92a0
pop,take on me - demo; 2015 remaster,a-ha,"['pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/dbdf15a96f7cb8dc738e0ea7cc2a07c7be6b35f9?cid=8486f3ccf66b437d8cc1fe65984e92a0,world of love,belinda carlisle,"['pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/b53f3daf1aebe48f4408d59e1344fdcb05c26bea?cid=8486f3ccf66b437d8cc1fe65984e92a0
punk,should i stay or should i go - remastered,the clash,"['alt_rock', 'alternative', 'punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/30dfcd239fdb4a9ee277ff3a214a4f6771bd8cb3?cid=8486f3ccf66b437d8cc1fe65984e92a0,she's a sensation - 2002 remaster,ramones,"['alt_rock', 'alternative', 'punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/922d11eeabdd4d08e50c99113d072dd66a80d595?cid=8486f3ccf66b437d8cc1fe65984e92a0
punk,there is a light that never goes out - live in boston,the smiths,"['punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/23f6c629d7072e1adbe90b0a155b1110b2f94714?cid=8486f3ccf66b437d8cc1fe65984e92a0,i don't want you to go,the dogs d'amour,"['punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/eab2fe2e42931542650063542f5a60a044679288?cid=8486f3ccf66b437d8cc1fe65984e92a0
singer_songwriter,"born in the u.s.a. - live at la coliseum, los angeles, ca - september 1985",bruce springsteen,"['rock', 'singer_songwriter', 'songwriter']",https://p.scdn.co/mp3-preview/8811b05640f8be29a94225f435edb05ea8c8b98b?cid=8486f3ccf66b437d8cc1fe65984e92a0,on the air - live,peter gabriel,"['rock', 'singer_songwriter', 'songwriter']",https://open.spotify.com/embed/track/2EGMbOEDgmAVVxWw52uIez?utm_source=generator
singer_songwriter,sweet dreams (are made of this),"eurythmics,annie lennox,dave stewart","['dance', 'pop', 'rock', 'singer_songwriter', 'songwriter', 'synth_pop']",https://p.scdn.co/mp3-preview/d69101dbd66295473706112d3edf978b70fc4550?cid=8486f3ccf66b437d8cc1fe65984e92a0,one good reason,bryan adams,"['pop', 'rock', 'singer-songwriter', 'songwriter']",https://open.spotify.com/embed/track/1wqXEaGdkWJplvnNmcJkGV?utm_source=generator
synth_pop,never gonna give you up,rick astley,"['pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/b4c682084c3fd05538726d0a126b7e14b6e92c83?cid=8486f3ccf66b437d8cc1fe65984e92a0,with every beat of my heart,taylor dayne,"['pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/5fa94b21b6e580b14960fc400a4576e1987ae041?cid=8486f3ccf66b437d8cc1fe65984e92a0
synth_pop,"you spin me round (like a record) - metro 7"" edit",dead or alive,"['pop', 'synth_pop']",https://p.scdn.co/mp3-preview/301d005961b7c4a3738ac0c6ebc44861371f9051?cid=8486f3ccf66b437d8cc1fe65984e92a0,can you keep a secret,the lotus eaters,"['pop', 'synth_pop']",https://p.scdn.co/mp3-preview/f65d090afcb022ea9ac301faabe8d2713378238d?cid=8486f3ccf66b437d8cc1fe65984e92a0
