Artist,Title,Label,Peak,Weeks
Bananarama,Cruel Summer,Metronome,56,1
Bananarama,Cruel Summer '89,London-Metronome,26,1
Bananarama,I Can't Help It,Metronome,40,1
Bananarama,I Heard A Rumour,Metronome,52,1
Bananarama,I Want You Back,Metronome,34,1
Bananarama,Love In The First Degree,Metronome,26,1
Bananarama,"Love, Truth & Honesty",Metronome,42,1
Bananarama,More Than Physical,London-Metronome,38,1
Bananarama,Robert De Niro's Waiting...,Metronome,73,1
Bananarama,Rough Justice,Metronome,72,1
Bananarama,Venus,London-Metronome,65,1
Bananarama / Lananeeneenoonoo,Help,London-Metronome,74,1
Band Aid,Do They Know It's Christmas?,Mercury,6,1
Band Aid II,Do They Know It's Christmas?,Polydor,74,1
Band für Afrika,Nackt im Wind,CBS,3,1
Bangles,Be With You,CBS,48,1
Bangles,Eternal Flame,CBS,51,1
Bangles,Hazy Shade Of Winter,DefJam,71,1
Bangles,If She Knew What She Wants,CBS,74,1
Bangles,Manic Monday,CBS,29,1
Bangles,Walk Like An Egyptian,CBS,66,1
Bangles,Walking Down Your Street,CBS,41,1
Barbara Dickson,January - February,Epic,44,1
Barbra Streisand,Memory,CBS,51,1
Barbra Streisand,Woman In Love,CBS,70,1
Barbra Streisand & Barry Gibb,Guilty,CBS,19,1
Barbra Streisand & Don Johnson,Till I Loved You,CBS,38,1
Barclay James Harvest,Child Of The Universe [Live],Polydor,45,1
Barclay James Harvest,Just A Day Away,Polydor,52,1
Barclay James Harvest,Life Is For Living,Polydor,19,1
Barclay James Harvest,Victims Of Circumstance,Polydor,51,1
Barrabas,On The Road Again,Hansa Int.,23,1
Barrabas,The Lion (Don't Kill The Lion),Hansa Int.,54,1
Barry Gibb,Childhood Days,Polydor-DGG,73,1
Barry Gibb,Shine Shine,Polydor,50,1
Barry Manilow,You're Lookin' Hot Tonight,Arista,62,1
Basia,Prime Time TV,Portrait,71,1
Bayernpower,Funky Cold Medina (Ein Bayer in New York),Ariola,95,1
Beagle Music Ltd.,Ice In The Sunshine,RCA,15,1
Beastie Boys,(You Gotta) Fight For Your Right (To Party),DefJam,42,1
Beastie Boys,Hey Ladies,Beastie Boys,45,1
Beastie Boys,No Sleep Till Brooklyn,DefJam,52,1
Beastie Boys,She's On It,DefJam,48,1
Beats International,Dub Be Good To Me,London-Metronome,73,1
Bee Gees,Angela,Warner Bros.,52,1
Bee Gees,E.S.P.,Warner Bros.,75,1
Bee Gees,He's A Liar,RSO,72,1
Bee Gees,Living Eyes,RSO,68,1
Bee Gees,One,Warner Bros.,41,1
Bee Gees,Ordinary Lives,Warner Bros.,70,1
Bee Gees,Someone Belonging To Someone,RSO,55,1
Bee Gees,The Woman In You,RSO,52,1
Bee Gees,You Win Again,Warner Bros.,22,1
Belinda Carlisle,Circle In The Sand,Virgin,36,1
Belinda Carlisle,Heaven Is A Place On Earth,Virgin,11,1
Belinda Carlisle,I Get Weak,Virgin,52,1
Belinda Carlisle,La luna,Virgin,90,1
Belinda Carlisle,Leave A Light On,Virgin,54,1
Bellamy Brothers,Dancin' Cowboys,Warner Bros.,71,1
Belouis Some,Imagination,Parlophone,63,1
Ben E. King,Save The Last Dance For Me,Manhattan,63,1
Ben E. King,Stand By Me,Atlantic,65,1
Berlin,Like Flames,Mercury-Phonogram,40,1
Berlin,Take My Breath Away,CBS,61,1
Bernhard Brink,Du entschuldige - ich kenn' dich,Aladin,48,1
Bernhard Brink,Fieber,Aladin,52,1
Bernhard Brink,Ich wär' so gern wie du,Hansa,47,1
Bernhard Brink,Viel zu jung,Aladin,73,1
Bernie Paul,Caroline,Ariola,52,1
Bernie Paul,In Dreams,Ariola,18,1
Bernie Paul,Night After Night,Ariola,34,1
Bernie Paul,Oh No No,Ariola,31,1
Bette Midler,Beast Of Burden,Atlantic,64,1
Big Country,Look Away,Mercury-Phonogram,38,1
Big Fun,Blame It On The Boogie,Jive,69,1
Big Fun,Can't Shake The Feeling,Jive,82,1
Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,RCA,48,1
Bill Withers,Ain't No Sunshine (The Eclipse Mix),CBS,30,1
Bill Withers,Lovely Day [Sunshine Mix],CBS,38,1
Billy Idol,Catch My Fall,Chrysalis,61,1
Billy Idol,Don't Need A Gun,Chrysalis,52,1
Billy Idol,Eyes Without A Face,Chrysalis,27,1
Billy Idol,Flesh For Fantasy,Chrysalis,62,1
Billy Idol,Mony Mony (Live),Chrysalis,57,1
Billy Idol,Sweet Sixteen,Chrysalis,66,1
Billy Idol,To Be A Lover,Chrysalis,73,1
Billy Joel,Leningrad,CBS,86,1
Billy Joel,Uptown Girl,CBS,71,1
Billy Joel,We Didn't Start The Fire,CBS,50,1
Billy Ocean,Are You Ready,GTO,64,1
Billy Ocean,European Queen (No More Love On The Run),Jive,29,1
Billy Ocean,"Get Outta My Dreams, Get Into My Car",Jive,74,1
Billy Ocean,Love Zone,Jive,73,1
Billy Ocean,Loverboy,Jive,72,1
Billy Ocean,Stay The Night,GTO,74,1
Billy Ocean,Suddenly,Jive,62,1
Billy Ocean,There'll Be Sad Songs (To Make You Cry),Jive,51,1
Billy Ocean,"When The Going Gets Tough, The Tough Get Going",Jive,54,1
Bisquit,Roller Boogie,CNR,61,1
Black,Everything's Coming Up Roses,A&M-DGG,42,1
Black,The Big One,A&M-DGG,56,1
Black,Wonderful Life,A&M-DGG,45,1
Black Box,I Don't Know Anybody Else,Polydor,30,1
Black Box,Ride On Time,Zyx,48,1
Blancmange,Blind Vision,London,57,1
Blancmange,Don't Tell Me,London,51,1
Blancmange,The Day Before You Came,London,52,1
Blancmange,Waves,London,47,1
Blind Date,Your Heart Keeps Burning,Ariola,41,1
Bliss,I Hear You Call,Parlophone,67,1
Blondie,Atomic,Chrysalis,58,1
Blondie,Call Me,Chrysalis,18,1
Blondie,Dreaming,Chrysalis,26,10
Blondie,Island Of Lost Souls,Chrysalis,71,1
Blondie,Rapture,Chrysalis,40,1
Blondie,The Tide Is High,Chrysalis,50,1
Blondie,Union City Blue,Chrysalis,54,1
Blue System,Love Suite,Hansa,74,1
Blue System,Magic Symphony,Hansa,87,1
Blue System,My Bed Is Too Big,Hansa,74,1
Blue System,Silent Water,Hansa,13,1
Blue System,Sorry Little Sarah,Hansa,28,1
Blue System,Under My Skin,Hansa,57,1
Bläck Fööss,Frankreich Frankreich,EMI,65,1
Bläck Fööss,Katrin,EMI,74,1
Bläck Fööss,Party-Service,EMI,71,1
Bläck Fööss & Fründe,Männer,EMI,54,1
Bob Geldof,This Is The World Calling,Mercury-Phonogram,31,1
Bob Marley & The Wailers,Could You Be Loved,Island,25,1
Bob Marley & The Wailers,Three Little Birds,Island,49,1
Bob Seger,Shakedown,MCA,60,1
Bob Seger & The Silver Bullet Band,Shame On The Moon,Capitol,67,1
Bobby Brown,My Prerogative,MCA,21,1
Bobby Brown,On Our Own,MCA,26,1
Bobby McFerrin,"Don't Worry, Be Happy",Manhattan,42,1
Bobby McFerrin,Good Lovin',Manhattan,37,1
Bobbysocks,Let It Swing,Metronome,47,1
Bogart,On Broadway,EMI,63,1
Bogart,Primaballerina,EMI,40,1
Bogart,Stop Lovin' You,EMI,67,1
Bolland & Bolland,Tears Of Ice,Teldec,74,1
Bomb The Bass,Beat Dis,BCM,69,1
Bomb The Bass feat. Lorraine,Don't Make Me Wait,Rough Trade,33,1
Bon Jovi,Bad Medicine,Vertigo-Phonogram,54,1
Bon Jovi,Born To Be My Baby,Vertigo-Phonogram,54,1
Bon Jovi,I'll Be There For You,Vertigo-Phonogram,67,1
Bon Jovi,Livin' On A Prayer,Mercury-Phonogram,73,1
Bon Jovi,Wanted Dead Or Alive,Mercury-Phonogram,58,1
Boney M.,Children Of Paradise,Hansa Int.,68,1
Boney M.,El Lute,Hansa Int.,1,22
Boney M.,Felicidad (Margherita),Hansa Int.,69,1
Boney M.,Going Back West,Hansa Int.,41,1
Boney M.,I See A Boat On The River,Hansa Int.,37,1
Boney M.,I'm Born Again,Hansa Int.,7,10
Boney M.,Jambo - Hakuna Matata (No Problems),Hansa Int.,59,1
Boney M.,Kalimba de luna,Hansa,50,1
Boney M.,Little Drummer Boy,Hansa Int.,34,1
Boney M.,Malaika,Hansa Int.,31,1
Boney M.,My Chérie Amour,Hansa,62,1
Boney M.,Somewhere In The World,Hansa Int.,61,1
Boney M.,We Kill The World (Don't Kill The World),Hansa Int.,43,1
Boney M. And Bobby Farrell With The School-Rebels,Happy Song,Hansa,31,1
Boney M. feat. Bobby Farrell,"Young, Free And Single",Hansa,64,1
Bonnie Bianco,Miss You So,Metronome,21,1
Bonnie Bianco,My First Love,Kangaroo,54,1
Bonnie Bianco & Pierre Cosso,Stay,Kangaroo,11,1
Bonnie Tyler,Have You Ever Seen The Rain?,CBS,69,1
Bonnie Tyler,Here She Comes,CBS,71,1
Bonnie Tyler,Holding Out For A Hero,CBS,52,1
Bonnie Tyler,If You Were A Woman (And I Was A Man),CBS,53,1
Bonnie Tyler,Total Eclipse Of The Heart,CBS,33,1
Bonnie Tyler & Todd Rundgren,Loving You's A Dirty Job But Somebody's Gotta Do It,CBS,68,1
Booker Newberry III,Love Town,Boardwalk,51,1
Boris Gardiner,I Wanna Wake Up With You,Chic,26,1
Boston,Amanda,MCA,46,1
Boulevard,Rainy Day In London,CBS,74,1
Boy George,Everything I Own,Virgin,20,1
Boy George,Keep Me In Mind,Virgin,55,1
Boy Meets Girl,Waiting For A Star To Fall,RCA,25,1
Boys Don't Cry,I Wanna Be A Cowboy,Intercord,41,1
Boys Town Gang,Can't Take My Eyes Off You,Rams Horn,52,1
Boytronic,Don't Let Me Down,Metronome,60,1
Boytronic,You,Mercury,71,1
Break Machine,Street Dance,Can't Stop,59,1
Breakfast Club,Right On Track,MCA,50,1
Breathe,Hands To Heaven,Virgin,45,1
Bronski Beat,C'mon! C'mon!,London-Metronome,47,1
Bronski Beat,Hit That Perfect Beat,London,59,1
Bronski Beat,It Ain't Necessarily So,Metronome,44,1
Bronski Beat,Smalltown Boy,Metronome,51,1
Bronski Beat,Why?,Metronome,46,1
Bronski Beat / Marc Almond,I Feel Love,London,74,1
Bros,Cat Among The Pigeons,CBS,31,1
Bros,Drop The Boy,CBS,54,1
Bros,I Owe You Nothing,CBS,21,1
Bros,I Quit,CBS,38,1
Bros,Too Much,CBS,96,1
Bros,When Will I Be Famous?,CBS,53,1
Brother Beyond,Be My Twin,Parlophone,53,1
Brother Beyond,He Ain't No Competition,Parlophone,47,1
Brother Beyond,The Harder I Try,Parlophone,73,1
Bruce & Bongo,Geil,Rush,48,1
Bruce & Bongo,Heigh Ho - Whistle While You Work,Rush,30,1
Bruce Hornsby And The Range,The Way It Is,RCA,28,1
Bruce Springsteen,Brilliant Disguise,CBS,38,1
Bruce Springsteen,Glory Days,CBS,38,1
Bruce Springsteen,I'm Goin' Down,CBS,69,1
Bruce Springsteen,I'm On Fire,CBS,41,1
Bruce Springsteen,Tougher Than The Rest,CBS,38,1
Bruce Springsteen & The E Street Band,War (Live),CBS,38,1
Bryan Adams,Christmas Time,A&M,67,1
Bryan Adams,Heat Of The Night,A&M-DGG,46,1
Bryan Adams,Heaven,A&M,37,1
Bryan Adams,Summer Of '69,A&M,72,1
Bryan Adams & Tina Turner,It's Only Love,A&M,53,1
Bryan Ferry,Don't Stop The Dance,EG,57,1
Bryan Ferry,Slave To Love,EG,36,1
Bucks Fizz,If You Can't Stand The Heat,RCA,75,1
Bucks Fizz,London Town,RCA,74,1
Bucks Fizz,Making Your Mind Up,RCA,62,1
Bucks Fizz,My Camera Never Lies,RCA,31,1
Bucks Fizz,Piece Of The Action,RCA,35,1
Bucks Fizz,The Land Of Make Believe,RCA,21,1
Bucks Fizz,When We Were Young,RCA,60,1
Buggles,"Clean, Clean",Island,60,1
Buggles,The Plastic Age,Island,71,1
Buggles,Video Killed The Radio Star,Island,2,10
C.C. Catch,'Cause You Are Young,Hansa,52,1
C.C. Catch,Are You Man Enough,Hansa,26,1
C.C. Catch,Backseat Of Your Cadillac,Hansa,23,1
C.C. Catch,Big Time,Metronome,98,1
C.C. Catch,Heartbreak Hotel,Hansa,71,1
C.C. Catch,Heaven And Hell,Hansa,64,1
C.C. Catch,House Of Mystic Lights,Hansa,28,1
C.C. Catch,I Can Lose My Heart Tonight,Hansa,41,1
C.C. Catch,Nothing But A Heartache,Hansa,39,1
C.C. Catch,Soul Survivor,Hansa,24,1
C.C. Catch,Strangers By Night,Hansa,65,1
C.C.C.P.,American-Soviets,Clockwork,62,1
Cameo,She's Strange,Mercury,63,1
Cameo,Word Up!,Mercury-Phonogram,29,1
Camouflage,Love Is A Shield,Metronome,42,1
Camouflage,Neighbours,Metronome,61,1
Camouflage,Strangers Thoughts,Metronome,37,1
Camouflage,The Great Commandment,Metronome,27,1
Captain & Tennille,Do That To Me One More Time,Casablanca,34,1
Captain Sensible,Stop The World,A&M,72,1
Captain Sensible,Wot!,A&M,41,1
Carly Simon,Coming Around Again,Arista,40,1
Carola,Love Isn't Love,WEA,68,1
Carole King,City Streets,Capitol,75,1
Caroline Loeb,C'est la ouate,Barclay-Metronome,24,1
Caroline Loeb,À quoi tu penses?,Barclay-Metronome,72,1
